actionId,afprice,browser,city,country,currency,date,device,goal,goalValue,ip,offer_title,os,revenue,status,sub1
12544.6077.615401,undefined USD,Chrome 120,Heidenau,DE,USD,8/22/2024 3:01,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240820S38M506H_24975638051_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/21/2024 13:35,desktop,Old User,1,116.87.113.55,Shopee SG - CPS,Windows 10,0.3125,confirmed,tabm
240820R6MVJ4B7_19469898036_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/21/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0596,confirmed,tabm
240819MC633Y6H_20471094888_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/20/2024 13:34,desktop,Old User,1,103.107.198.141,Shopee SG - CPS,Windows 10,0.47,confirmed,tabm
240819PAEHW6KC_2275895801_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/20/2024 13:34,desktop,Old User,1,66.228.7.29,Shopee SG - CPS,Windows 10,0.096,confirmed,-
240819MC7SDTY4_23481409298_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/20/2024 13:34,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.3301,confirmed,tabm
240819MC7SDTY4_23555346287_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/20/2024 13:34,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.2578,confirmed,tabm
240819MC7SDTY3_21295515988_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/20/2024 13:34,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.3122,confirmed,tabm
240819PNF20UQ4_19252597741_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/20/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.179,confirmed,tabm
12544.6075.669119,undefined USD,Chrome 120,Heidenau,DE,USD,8/20/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240818JXJX96EX_24373977118_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/19/2024 13:34,desktop,Old User,1,195.133.129.85,Shopee SG - CPS,Windows 10,0.0435,confirmed,tabm
11754.6074.620906,undefined USD,Chrome 127,Aurora,US,USD,8/19/2024 2:31,desktop,Default,1,98.46.5.70,Redbubble - CPS,Windows 10,0.3779,confirmed,tabm
11754.6074.532955,undefined USD,Opera One 112,Molln,DE,USD,8/19/2024 0:54,desktop,Default,1,77.20.253.XXX,Redbubble - CPS,Windows 10,0.1073,confirmed,avb
12544.6074.277536,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/18/2024 21:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.0155,confirmed,tab_ch
12544.6074.276504,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/18/2024 21:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.0017,confirmed,tab_ch
12544.6074.274964,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/18/2024 21:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.003,confirmed,tab_ch
12544.6073.1398963,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/18/2024 16:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.018,confirmed,tab_ch
12544.6073.1316417,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/18/2024 13:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.0151,confirmed,tab_ch
12544.6073.1316415,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/18/2024 13:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.0165,confirmed,tab_ch
240817F7DQN3RV_25827223102_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/18/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1484,confirmed,tabm
240817HJQU78X8_7418111375_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/18/2024 13:34,desktop,Old User,1,66.228.7.29,Shopee SG - CPS,Windows 10,0.4479,confirmed,-
12544.6073.653478,undefined USD,Chrome 120,Heidenau,DE,USD,8/18/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240816EVRXCN7B_4816934013_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.2116,confirmed,tabm
240816F11QQ6JU_28904767550_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.1208,confirmed,tabm
240816EVRXCN7B_4816934013_3,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.2116,confirmed,tabm
240816F15REEDC_28853695556_3,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.1275,confirmed,tabm
240816F15REEDC_24104425673_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.0981,confirmed,tabm
240816F15REEDC_24007376519_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.1137,confirmed,tabm
240816F11QQ6JU_28904767550_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.1392,confirmed,tabm
240816EVRXCN7B_24409313565_5,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.1567,confirmed,tabm
240816EVRXCN7B_24409313565_4,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.1571,confirmed,tabm
240816EVRXCN7B_4816934013_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/17/2024 13:36,desktop,Old User,1,103.252.201.162,Shopee SG - CPS,Windows 10,0.2116,confirmed,tabm
12544.6072.680257,undefined USD,Chrome 120,Heidenau,DE,USD,8/17/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240815AHYDDDSY_9077449233_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/16/2024 13:35,desktop,Old User,1,116.86.253.126,Shopee SG - CPS,Windows 10,0.9927,confirmed,tabm
240815AHYDDDSY_9077449233_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/16/2024 13:35,desktop,Old User,1,116.86.253.126,Shopee SG - CPS,Windows 10,1.9853,confirmed,tabm
12544.6071.560136,undefined USD,Chrome 120,Heidenau,DE,USD,8/16/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
12544.6070.672587,undefined USD,Chrome 120,Heidenau,DE,USD,8/15/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
12544.6070.421527,undefined USD,Opera One 112,Parana,AR,USD,8/14/2024 23:52,desktop,Signups,6,181.98.72.3,Nexo - CPA,Windows 10,0,confirmed,tabm
2408137NQPMMC9_25377000866_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/14/2024 13:34,desktop,Old User,1,14.100.96.155,Shopee SG - CPS,Windows 10,0.1151,confirmed,tabm
2408137NQPMMC9_25377000866_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/14/2024 13:34,desktop,Old User,1,14.100.96.155,Shopee SG - CPS,Windows 10,0.0393,confirmed,tabm
2408137NQPMMC9_25377000866_3,undefined SGD,Chrome 127,Singapore,SG,SGD,8/14/2024 13:34,desktop,Old User,1,14.100.96.155,Shopee SG - CPS,Windows 10,0.1899,confirmed,tabm
57012856,undefined USD,Chrome 127,Port Clyde,US,USD,8/13/2024 23:59,desktop,Default,1,67.248.23.249,Thriftbooks - CPS,macOS 10.15.7,1.3623,confirmed,tabm
2408122TDKA0PY_20514641652_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/13/2024 13:36,desktop,Old User,1,116.14.20.21,Shopee SG - CPS,Windows 10,0.0382,confirmed,tabm
2408122TDKA0PY_20514641652_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/13/2024 13:36,desktop,Old User,1,116.14.20.21,Shopee SG - CPS,Windows 10,0.0105,confirmed,tabm
2408122TDKA0PY_21190622238_3,undefined SGD,Chrome 127,Singapore,SG,SGD,8/13/2024 13:36,desktop,Old User,1,116.14.20.21,Shopee SG - CPS,Windows 10,0.0348,confirmed,tabm
13624.6068.1283870,undefined USD,Chrome 126,Garden Grove,US,USD,8/13/2024 12:16,desktop,Default,1,172.56.191.10,Shopify CPA,Windows 10,120,pending,tabm
12544.6068.639838,undefined USD,Chrome 120,Heidenau,DE,USD,8/13/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
2408111UGA4SUN_11594182693_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.2039,confirmed,tabm
2408111UGA4SUP_13342719834_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.098,confirmed,tabm
2408111MARVYJP_18744144343_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1907,confirmed,tabm
2408111MARVYJN_3395641503_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/12/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.2203,confirmed,tabm
12544.6067.705239,undefined USD,Chrome 120,Heidenau,DE,USD,8/12/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240810V679T3G2_25961979847_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:35,desktop,Old User,1,58.182.84.142,Shopee SG - CPS,Windows 10,0.1625,confirmed,tabm
240810TREW3RHB_21747128988_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0048,confirmed,tabm
240810TREW3RH7_5568609328_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1044,confirmed,tabm
240810TREW3RH8_11654829089_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1405,confirmed,tabm
240810TREW3RH6_2719664158_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0617,confirmed,tabm
240810TREW3RHA_12540816355_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1615,confirmed,tabm
240810TREW3RH9_12540198719_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.025,confirmed,tabm
240810TREW3RHC_22727086557_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0559,confirmed,tabm
240810TREW3RHB_21747128988_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.0567,confirmed,tabm
240810TREW3RHD_25503550441_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.1622,confirmed,tabm
240810TREW3RHD_25603530863_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/11/2024 13:34,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0,confirmed,tabm
12544.6066.741972,undefined USD,Chrome 120,Heidenau,DE,USD,8/11/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
12544.6065.763482,undefined USD,Chrome 120,Heidenau,DE,USD,8/10/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
12544.6065.493959,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/9/2024 23:52,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.0028,confirmed,tab_ch
13624.6064.1464737,undefined USD,Chrome 126,Garden Grove,US,USD,8/9/2024 16:16,desktop,Default,1,172.56.191.10,Shopify CPA,Windows 10,120,pending,tabm
240808NPMT30X9_20416711549_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.5944,confirmed,tabm
240808R0J0HA09_25876711368_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,121.7.245.34,Shopee SG - CPS,Windows 10,0.1329,confirmed,tabm
240808NSNY2D3G_24581890743_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.0406,confirmed,tabm
240808NSNY2D3F_24074186901_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.4418,confirmed,tabm
240808NSNY2D3D_21007922836_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.0143,confirmed,tabm
240808NSNY2D3D_21007922836_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.0143,confirmed,tabm
240808NSNY2D3H_27006069174_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,0.471,confirmed,tabm
240808NSNY2D3E_22748793519_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,101.78.73.92,Shopee SG - CPS,Windows 10,2.7213,confirmed,tabm
240808QRY5Y4AK_1354145174_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:35,desktop,Old User,1,116.14.20.21,Shopee SG - CPS,Windows 10,0.0631,confirmed,tabm
240808QTKW0G3E_2591950137_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:34,desktop,Old User,1,121.7.245.34,Shopee SG - CPS,Windows 10,0.3505,confirmed,tabm
240808QTKW0G3E_2591950137_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/9/2024 13:34,desktop,Old User,1,121.7.245.34,Shopee SG - CPS,Windows 10,0.5582,confirmed,tabm
12544.6064.726443,undefined USD,Chrome 120,Heidenau,DE,USD,8/9/2024 2:54,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
13624.6063.1525050,undefined USD,Chrome 126,Garden Grove,US,USD,8/8/2024 16:33,desktop,Default,1,172.56.191.155,Shopify CPA,Windows 10,20,pending,tabm
13624.6063.801680,undefined USD,Chrome 126,Garden Grove,US,USD,8/8/2024 4:19,desktop,Default,1,172.56.191.10,Shopify CPA,Windows 10,90,pending,tabm
12544.6063.727110,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/8/2024 2:55,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.003,confirmed,tab_ch
12544.6063.722790,undefined USD,Chrome 120,Heidenau,DE,USD,8/8/2024 2:52,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
2029.6063.659794,undefined USD,Chrome 127,Monrovia,US,USD,8/8/2024 1:49,desktop,Default,1,216.165.236.45,Abebooks Global - CPS,Windows 10,0.3156,confirmed,tabm
13624.6062.807229,undefined USD,Chrome 126,Garden Grove,US,USD,8/7/2024 4:16,desktop,Default,1,172.56.191.155,Shopify CPA,Windows 10,20,pending,tabm
12544.6062.732909,undefined USD,Chrome 120,Heidenau,DE,USD,8/7/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240805GBC697WF_2770596743_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.1236,confirmed,tabm
240805GBC697WG_9443153571_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.0876,confirmed,tabm
240805GBC697WH_24730018388_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
240805GBC697WH_22083536553_4,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.468,confirmed,tabm
240805GBC697WJ_24974915353_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.0193,confirmed,tabm
240805GBC697WJ_24974915353_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.0193,confirmed,tabm
240805GBC697WH_24730018388_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
240805GBC697WH_24730018388_5,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
240805GBC697WH_24730018388_3,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
12544.6061.742531,undefined USD,Chrome 120,Heidenau,DE,USD,8/6/2024 2:52,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240804DVDHS80X_9659648993_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/5/2024 14:06,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.5472,confirmed,tabm
240804E4N175JS_25510401007_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/5/2024 14:06,desktop,Old User,1,103.6.150.137,Shopee SG - CPS,Windows 10,0.0072,confirmed,tabm
240804D7QW9MCG_15661212628_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/5/2024 14:06,desktop,Old User,1,115.66.43.110,Shopee SG - CPS,Windows 10,0.2139,confirmed,tabm
12544.6060.699784,undefined USD,Chrome 120,Heidenau,DE,USD,8/5/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
